Parameter Index,Time,Performance Value
4,29,[nan nan nan nan nan nan nan nan]
4,30,[nan nan nan nan nan nan nan nan]
4,31,[nan nan nan nan nan nan nan nan]
4,32,[nan nan nan nan nan nan  0. nan]
4,33,[nan nan nan nan nan nan  0. nan]
4,34,[nan nan nan nan nan nan nan nan]
4,35,[nan nan nan nan nan nan nan nan]
4,36,[nan nan nan nan nan nan nan nan]
4,37,[nan nan nan nan nan nan nan nan]
4,55,[nan nan nan nan nan nan nan nan]
4,56,[nan nan nan nan nan nan nan nan]
4,57,[ 0. nan nan nan nan nan nan nan]
4,58,[ 0. nan nan nan nan nan nan nan]
4,59,[nan nan nan nan nan nan nan nan]
4,60,[nan nan nan nan nan nan nan nan]
4,61,[nan nan nan nan nan nan nan nan]
4,62,[nan nan nan nan nan nan nan nan]
4,63,[nan nan nan nan nan nan nan nan]
4,64,[nan nan nan nan nan  0. nan nan]
4,65,[nan nan nan nan nan nan nan nan]
4,66,[nan nan nan nan nan nan nan nan]
4,67,[nan nan nan nan nan nan nan nan]
4,68,[nan nan nan nan nan nan nan nan]
4,69,[nan nan nan nan nan nan nan nan]
